,ground_truth,prediction
374,93.00000021606684,86.96046977490187
375,88.00000051409006,84.57345040142536
376,95.00000009685755,90.8346191495657
377,80.0000001359731,95.71868479251862
378,66.99999948590994,87.00679688900709
379,60.99999984353781,72.73145290836692
380,58.9999999627471,57.13700135052204
381,57.99999888241291,43.577643260359764
382,43.99999971687794,41.77877874672413
383,37.99999779462814,44.1043269187212
384,46.999999538064,45.65492643415928
385,36.99999785423279,35.52545049786568
386,70.99999981746078,44.99977622926235
387,93.00000021606684,81.02604454383254
388,110.00000034272671,92.03221380710602
389,103.00000075995922,99.5899033844471
390,103.00000075995922,92.40125190466642
391,104.00000070035458,94.6121416091919
392,121.00000196695328,110.95986531674862
393,146.00000047683716,131.3319789171219
394,154.0,142.6367705464363
395,154.0,146.1941229403019
396,154.0,145.78870597481728
397,154.0,146.5412753522396
398,154.0,146.63475033640862
399,154.0,146.55104234814644
400,154.0,153.13134837150574
401,154.0,155.94566583633423
402,145.0000005364418,155.0839176774025
403,139.00000089406967,149.26302522420883
404,104.00000070035458,110.80728906393051
405,82.0000000167638,89.87471427768469
406,80.0000001359731,86.07360762357712
407,80.0000001359731,88.06467608362436
408,85.00000012293458,82.93323858454823
409,71.99999975785613,74.5620544590056
410,65.99999954551458,58.98874534666538
411,54.999999061226845,61.54127813875675
412,53.99999912083149,55.73560842871666
413,50.999999299645424,56.195680901408195
414,84.00000018253922,59.629083186388016
415,69.99999987706542,62.461097061634064
416,64.99999960511923,60.205317705869675
417,65.99999954551458,62.47113308310509
418,88.00000051409006,75.5670336522162
419,109.00000040233135,94.93689194321632
420,137.00000101327896,113.68544538319111
421,137.00000101327896,122.90220421552658
422,133.00000125169754,126.24867704510689
423,146.00000047683716,128.40605688095093
424,154.0,125.95819783210754
425,154.0,131.5576868057251
426,154.0,141.35661923885345
427,154.0,147.4776712656021
428,154.0,147.589225679636
429,154.0,147.61704474687576
430,154.0,148.06629464030266
431,154.0,148.01325100660324
432,154.0,158.50707191228867
433,154.0,158.10982602834702
434,154.0,156.78855484724045
435,154.0,156.884182035923
436,154.0,156.65983295440674
437,154.0,161.49232548475266
438,154.0,145.24021756649017
439,154.0,145.23209208250046
440,154.0,145.39315631985664
441,154.0,145.4180389046669
442,154.0,152.71885922551155
443,154.0,155.9667866230011
444,154.0,156.03039520978928
445,154.0,156.2461993098259
446,154.0,156.26566034555435
447,154.0,156.29979467391968
448,154.0,137.4691770374775
449,110.00000034272671,123.1419607102871
450,62.99999972432852,65.49078544974327
451,49.99999935925007,47.466312035918236
452,41.99999983608723,44.659764394164085
453,43.99999971687794,41.35187165439129
454,36.99999785423279,36.98115694522858
455,31.999998152256012,30.04538607597351
456,20.999998807907104,27.38539808988571
457,25.99999850988388,26.474372655153275
458,21.99999874830246,23.478563249111176
459,21.99999874830246,22.956744849681854
460,25.99999850988388,22.385886281728745
461,19.99999886751175,20.667943745851517
462,19.99999886751175,22.468714237213135
463,23.99999862909317,23.73846474289894
464,19.99999886751175,28.918624937534332
465,26.999998450279236,30.94661259651184
466,32.99999809265137,35.187723100185394
467,34.99999797344208,40.136610224843025
468,30.999998211860657,42.42911384999752
469,37.99999779462814,45.219260051846504
470,44.99999965727329,43.62765921652317
471,52.999999180436134,48.30617792904377
472,43.99999971687794,49.17336131632328
473,41.99999983608723,53.71658752858639
474,47.99999947845936,50.937462255358696
475,45.99999959766865,60.38862442970276
476,51.99999924004078,57.733426466584206
477,59.99999990314245,54.650835797190666
478,66.99999948590994,53.47950077056885
479,57.99999888241291,54.37487028539181
480,48.99999941885471,50.96489830315113
481,48.99999941885471,50.643417313694954
482,57.99999888241291,52.750744715332985
483,54.999999061226845,59.76936861872673
484,61.99999978393316,64.9930927157402
485,62.99999972432852,66.2464440613985
486,64.99999960511923,65.48694613575935
487,60.99999984353781,65.38838930428028
488,61.99999978393316,66.21332655847073
489,58.9999999627471,66.6124328225851
490,60.99999984353781,69.77257866039872
